Vendor | Marketing Name | Device | Model



Samsung | Galaxy A7(2016) | a7xltechn | SM-A710XZ
Samsung | Absolute | GT-B9120 | GT-B9120
Samsung | Acclaim | SCH-R880 | SCH-R880
Samsung | Admire | SCH-R720 | SCH-R720
Samsung | Amazing | amazingtrf | SGH-S730M
Samsung | Baffin | baffinltelgt | SHV-E270L
Samsung | Captivate Glide | SGH-I927 Samsung-SGH-I927
Samsung | Captivate Glide | SGH-I927 | SGH-I927
Samsung | China Telecom | kylevectc | SCH-I699I
Samsung | Chromebook Plus | kevin_cheets | kevin
Samsung | Chromebook Plus | kevin_cheets Samsung Chromebook Plus
Samsung | Chromebook Pro | caroline_cheets | caroline
Samsung | Chromebook Pro | caroline_cheets Samsung Chromebook Pro
Samsung | Conquer | SPH-D600 | SPH-D600
Samsung | DoubleTime | SGH-I857 Samsung-SGH-I857
Samsung | Droid Charge | SCH-I510 | SCH-I510
Samsung | Elite | eliteltechn | SM-G1600
Samsung | Elite | elitexltechn | SM-G1650
Samsung | Europa | GT-I5500B | GT-I5500B
Samsung | Europa | GT-I5500L | GT-I5500L
Samsung | Europa | GT-I5500M | GT-I5500M
Samsung | Europa | GT-I5503T | GT-I5503T
Samsung | Europa | GT-I5510L | GT-I5510L
Samsung | Exhibit | SGH-T759 | SGH-T759
Samsung | Galaxy (China) | GT-B9062 | GT-B9062
Samsung | Galaxy 070 | hendrix | YP-GI2
Samsung | Galaxy A | archer | archer
Samsung | Galaxy A | archer | SHW-M100S
Samsung | Galaxy A3 (2017) | a3y17lte | SM-A320Y
Samsung | Galaxy A3 | a33g | SM-A300H
Samsung | Galaxy A3 | a3lte | SM-A300F
Samsung | Galaxy A3 | a3lte | SM-A300M
Samsung | Galaxy A3 | a3lte | SM-A300XZ
Samsung | Galaxy A3 | a3lte | SM-A300YZ
Samsung | Galaxy A3 | a3ltechn | SM-A3000
Samsung | Galaxy A3 | a3ltechn | SM-A300X
Samsung | Galaxy A3 | a3ltectc | SM-A3009
Samsung | Galaxy A3 | a3ltedd | SM-A300G
Samsung | Galaxy A3 | a3lteslk | SM-A300F
Samsung | Galaxy A3 | a3ltezh | SM-A3000
Samsung | Galaxy A3 | a3ltezt | SM-A300YZ
Samsung | Galaxy A3 | a3ulte | SM-A300FU
Samsung | Galaxy A3 | a3ulte | SM-A300XU
Samsung | Galaxy A3 | a3ulte | SM-A300Y
Samsung | Galaxy A3(2016) | a3xelte | SM-A310F
Samsung | Galaxy A3(2016) | a3xelte | SM-A310M
Samsung | Galaxy A3(2016) | a3xelte | SM-A310X
Samsung | Galaxy A3(2016) | a3xelte | SM-A310Y
Samsung | Galaxy A3(2016) | a3xeltekx | SM-A310N0
Samsung | Galaxy A3(2017) | a3y17lte | SM-A320F
Samsung | Galaxy A3(2017) | a3y17lte | SM-A320FL
Samsung | Galaxy A3(2017) | a3y17lte | SM-A320X
Samsung | Galaxy A5 | a53g | SM-A500H
Samsung | Galaxy A5 | a5lte | SM-A500F
Samsung | Galaxy A5 | a5lte | SM-A500G
Samsung | Galaxy A5 | a5lte | SM-A500M
Samsung | Galaxy A5 | a5lte | SM-A500XZ
